station,lat,lon,oxygen,dens,depth,sal,temp,nitrate,phosphate,silicate,NO2,NH4
2,8.752401,-88.970932,199.76199,1019.86469,5,32.6233,30.2961,0,0.15,1,0,0.04
2,8.752401,-88.970932,221.575,1021.3111,20,33.9398,29.05,2.94,0.42,3.3,0,0.14
2,8.752401,-88.970932,99.506,1024.64758,45,34.3937,19.244,20.72,1.69,14.5,0.05,0.11
2,8.752401,-88.970932,21.487,1026.60315,100,34.911,13.8088,30.88,2.1,21.3,0,0.02
2,8.752401,-88.970932,28.182,1026.77026,125,34.8188,13.1845,31,2.16,23.4,0,0
2,8.752401,-88.970932,25.174,1026.95471,150,34.8571,12.9851,31.37,2.22,24.5,0,0
2,8.752401,-88.970932,10.794,1027.25024,200,34.841,12.5829,32.53,2.39,27.3,0.1,0.02
2,8.752401,-88.970932,2.506,1027.90259,300,34.7495,11.1621,32.82,2.55,31.2,0,0.02
2,8.752401,-88.970932,1.965,1028.51917,400,34.636,9.7539,28.05,2.92,46.1,1.35,0.04
2,8.752401,-88.970932,2.086,1029.23779,500,34.6205,8.1452,36.57,3.1,55.1,0,0
2,8.752401,-88.970932,3.57,1029.80566,600,34.5868,7.2674,39.75,3.15,60.7,0,0.03
2,8.752401,-88.970932,4.956,1030.93237,800,34.5575,5.6618,45.16,3.37,80.6,0,0.03
2,8.752401,-88.970932,22.43,1031.99084,1000,34.5643,4.6842,NaN,NaN,NaN,NaN,NaN
2,8.752401,-88.970932,42.75,1033.27429,1250,34.5834,3.7958,44.43,3.259590164,114.6301263,0,0
2,8.752401,-88.970932,60.331,1034.53345,1500,34.6054,3.0797,43.4,3.127991803,129.5158406,0,0.05
2,8.752401,-88.970932,89.797,1036.95679,2000,34.6403,2.2863,39.83,2.874918033,154.1228377,0,0.06
2,8.752401,-88.970932,99.226,1038.1499,2250,34.6541,1.9879,34.7,2.480122951,135.490379,0,0.06
2,8.752401,-88.970932,104.258,1038.85754,2400,34.661,1.8669,39.92,2.824303279,161.7175899,0,0.04
2,8.752401,-88.970932,108.34,1039.77295,2600,34.6643,1.822,NaN,NaN,NaN,NaN,NaN
2,8.752401,-88.970932,109.25,1040.68079,2800,34.6653,1.8221,43.61,3.370942623,81.5170068,0,0.04
3,8.999591,-91.697595,197.711,1021.1131,5,34.0912,29.8642,0.62,0.28,1.6,0,0.18
3,8.999591,-91.697595,141.53799,1021.25812,20,33.0673,26.078,16.25,1.57,8.8,0.34,1.06
3,8.999591,-91.697595,33.116,1025.84875,35,34.6986,15.1616,29.08,2.15,21.5,0.01,0.05
3,8.999591,-91.697595,20.097,1026.28613,55,34.742,13.7118,32.11,2.26,23.6,0.02,0.03
3,8.999591,-91.697595,14.595,1026.48987,70,34.8342,13.4312,31.8,2.27,23.4,0,0.02
3,8.999591,-91.697595,20.676,1026.90662,125,34.8377,12.5948,32.39,2.27,25.5,0,0.02
3,8.999591,-91.697595,45.337,1027.37915,200,34.7682,11.6325,31.22,2.2,26.7,0,0.03
3,8.999591,-91.697595,11.386,1027.96472,300,34.7309,10.7503,33.85,2.49,32.5,0,0.03
3,8.999591,-91.697595,4.452,1028.54785,400,34.6776,9.7917,34.02,2.78,40.8,0.02,0.02
3,8.999591,-91.697595,2.113,1029.15613,500,34.6145,8.6105,31.2,3.02,49.5,0.59,0.03
3,8.999591,-91.697595,3.358,1029.78064,600,34.5888,7.441,31.4,3,49.5,0.53,0.03
3,8.999591,-91.697595,4.199,1030.33679,700,34.5772,6.7405,42,3.303,60.641,0,0.9
3,8.999591,-91.697595,9.231,1030.88306,800,34.5611,6.0223,31.39,2.96,49.7,0.53,0.04
3,8.999591,-91.697595,16.24,1031.42065,900,34.5582,5.4531,41.95,3.313442623,62.7638484,0,0.3
3,8.999591,-91.697595,23.066,1031.93665,1000,34.5613,5.0612,41.98,3.232131148,63.97667638,0,0.24
3,8.999591,-91.697595,32.221,1033.24573,1250,34.5783,3.9829,42.11,3.303278689,56.29543246,0,0.16
3,8.999591,-91.697595,52.531,1034.50708,1500,34.5968,3.2281,42.32,3.323606557,66.09912536,0,0.36
